ID_Venta,Fecha_Venta,Modelo_Auto,Cantidad,Precio_Unitario,tarjeta_Credito
1,9/8/2022,Outback,2,16283.000000,30332657852548
2,15/11/2022,Soul,4,16971.000000,50202309682414087
3,25/1/2022,Tundra,1,26491.000000,4405172683778153
4,24/4/2022,SJ 410,5,26965.000000,3529019779080114
5,31/7/2022,tC,3,13261.000000,5602248148270883
6,9/10/2022,1500,4,25992.000000,6709149356404498204
7,22/12/2021,Grand Marquis,4,29796.000000,201822042701122
8,13/7/2022,Pilot,1,22378.000000,3584781007186151
9,13/9/2022,Taurus,1,27170.000000,201594207023275
10,16/6/2022,Golf,4,19413.000000,3543531778439739
11,3/3/2022,C70,1,11310.000000,3564725710735550
12,29/5/2022,Impreza,5,7667.000000,3566919852733303
13,3/2/2022,Z8,2,7378.000000,3549556494935367
14,14/7/2022,Cabriolet,2,17273.000000,5602213438163057
15,18/10/2022,GTI,4,24006.000000,374622811041069
16,25/9/2022,Mystique,4,26573.000000,5387728385941032
17,21/11/2021,Sierra 1500,5,17929.000000,3547623188081023
18,2/3/2022,Cordia,3,11103.000000,3562873233070998
19,9/3/2022,Tercel,2,27302.000000,3543472046714522
20,21/10/2022,RX-8,3,13227.000000,4903692216200584437
21,26/12/2021,Beetle,2,14309.000000,3587741489423115
22,30/11/2021,Sierra 3500,2,15478.000000,3568873812282794
23,6/8/2022,Grand Prix,5,19729.000000,56108062792339494
24,20/5/2022,Cougar,1,25937.000000,374622898325245
25,5/5/2022,Cougar,4,18919.000000,3557014226784728
26,20/11/2021,RX,4,21824.000000,4903817997006811278
27,4/3/2022,Dakota Club,3,27789.000000,6375545078539242
28,29/9/2022,Grand Prix,1,12161.000000,5602235847665331
29,30/10/2022,X6,2,21131.000000,30547082458807
30,18/4/2022,Rendezvous,3,28699.000000,4844859185018075
31,1/5/2022,E250,5,11741.000000,502066873683323345
32,25/4/2022,Pathfinder,5,11439.000000,4508753508212977
33,22/3/2022,Altima,1,12461.000000,3553006303371803
34,10/11/2022,Torrent,3,16484.000000,6331109881992297
35,5/10/2022,LX,5,7937.000000,3561707276388589
36,4/4/2022,Landaulet,4,26602.000000,3567226151970928
37,23/5/2022,Equator,2,19895.000000,3557699656122876
38,20/8/2022,G-Series G10,2,7739.000000,3529825606192058
39,20/5/2022,M,1,11387.000000,337941964595507
40,2/7/2022,X5 M,2,27034.000000,3535533342856646
41,16/12/2021,Express 1500,2,15535.000000,3542769926937565
42,29/1/2022,Silverado,4,10184.000000,3540024909535701
43,18/1/2022,RL,3,24247.000000,3538609983103253
44,23/7/2022,Spyder,3,23612.000000,371338134332605
45,29/3/2022,200,5,11247.000000,30375116241498
46,12/10/2022,Ram Van B350,4,8368.000000,3571781914337082
47,14/1/2022,Blazer,4,20304.000000,6370537023860216
48,15/5/2022,100,3,16513.000000,3547960726181356
49,19/12/2021,Tracer,5,23903.000000,3571417666833883
50,12/11/2022,S60,1,20720.000000,5602223652455329
